Europawahl 2024;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;Christlich Demokratische Union Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;Sozialdemokratische Partei Deutschlands;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;DIE LINKE;;Freie Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Ökologisch-Demokratische Partei, Die Naturschutzpartei;;Familien-Partei Deutschlands;;Volt Deutschland;;Piratenpartei Deutschland;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;Die Heimat;;Aktion Partei für Tierschutz;;Partei für schulmedizinische Verjüngungsforschung;;Bündnis für Innovation & Gerechtigkeit;;Bündnis C - Christen für Deutschland;;Partei der Humanisten;;Menschliche Welt, für das Wohl und Glücklichsein aller;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Bürger für Gerechtigkeit;;Basisdemokratische Partei Deutschland;;BÜNDNIS DEUTSCHLAND;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;Demokratische Allianz für Vielfalt und Aufbruch;;Klimaliste Deutschland;;Parlament aufmischen – Stimme der Letzten Generation;;Partei der Vernunft;;Partei des Fortschritts;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;Übrige;;
03461;Wesermarsch;03;70014;69579;41724;37953;250;294;41474;37659;12441;10540;3776;8152;9184;8826;6209;2973;;;765;1446;2322;1993;843;914;545;235;631;604;100;123;299;267;616;144;193;235;69;69;32;69;209;124;19;75;15;41;29;16;65;72;58;31;17;17;15;10;12;6;19;;54;;180;;2037;;241;;11;;77;;36;;306;;49;;;677;
03462;Wittmund;03;47259;46072;28398;24414;162;232;28236;24182;9287;7688;2136;4547;6018;5600;4667;2118;;;411;748;1336;1208;469;443;479;147;440;422;75;79;201;198;284;85;125;116;15;42;23;44;173;100;20;35;10;12;31;29;50;28;38;16;6;2;4;7;8;4;11;;91;;134;;1395;;14;;18;;39;;16;;182;;30;;;464;
03;Niedersachsen;99;6191243;6119552;3969241;3766076;19704;24531;3949537;3741545;1239841;1119352;480893;846522;770237;781873;522920;297385;;;84491;141841;210970;186280;73469;89232;47902;23980;59742;54508;11890;15968;22137;23960;87645;20406;21022;24197;8719;9808;2543;6602;18173;10317;2038;5270;2102;5054;6008;5641;8298;6372;4859;2594;1074;1312;845;923;508;489;1969;;8207;;16366;;176127;;12680;;2579;;9485;;2767;;26063;;4968;;;61659;
;
04011;Bremen, Stadt;04;382338;390038;225617;254481;1064;3115;224553;251366;44020;55205;38828;58947;47607;60790;20360;17977;;;13997;20056;12041;11606;5108;8744;1033;1427;3199;2646;726;604;625;682;11404;1828;1136;2077;1760;1258;131;288;805;543;108;248;214;916;290;176;507;917;243;341;121;174;130;103;42;24;99;;482;;1523;;12297;;1978;;263;;1457;;142;;1544;;333;;;3789;
04012;Bremerhaven, Stadt;04;79499;80172;37744;41806;319;812;37425;40994;7797;8873;3671;7443;8725;10776;6425;4473;;;1194;2788;1741;2105;782;1012;175;209;620;715;132;88;194;243;837;175;280;505;134;87;32;96;235;161;21;69;39;89;38;26;57;122;60;61;8;13;26;16;1;5;32;;65;;692;;2370;;547;;51;;108;;21;;257;;58;;;844;
04;Bremen;99;461837;470210;263361;296287;1383;3927;261978;292360;51817;64078;42499;66390;56332;71566;26785;22450;;;15191;22844;13782;13711;5890;9756;1208;1636;3819;3361;858;692;819;925;12241;2003;1416;2582;1894;1345;163;384;1040;704;129;317;253;1005;328;202;564;1039;303;402;129;187;156;119;43;29;131;;547;;2215;;14667;;2525;;314;;1565;;163;;1801;;391;;;4633;
;
05111;Düsseldorf, Stadt;05;420681;414530;268628;263153;1216;1417;267412;261736;66644;64587;51891;76394;38169;39877;22577;18079;;;7356;12587;29957;22172;5738;7742;1474;1363;3795;3216;885;1123;928;1097;12744;3027;1337;1721;1699;1334;111;276;883;588;116;295;340;1041;201;172;597;526;296;176;121;129;193;162;32;19;76;;419;;1034;;12849;;1577;;338;;853;;176;;1637;;369;;;4033;
05112;Duisburg, Stadt;05;321610;325373;172477;162888;1603;1549;170874;161339;39008;32106;18401;31533;37696;39558;28512;19359;;;4762;9320;7396;8447;3836;4902;868;995;3465;2952;568;579;1132;1216;3493;1043;889;1220;807;422;139;463;1023;517;95;286;417;2223;145;167;328;272;250;120;109;92;256;307;43;47;133;;230;;655;;9767;;4276;;139;;388;;136;;1259;;253;;;3193;
05113;Essen, Stadt;05;408493;416106;249654;246269;1843;1877;247811;244392;66181;57242;34792;55645;47740;51163;33063;26304;;;5983;11303;14788;15744;5932;6771;1191;1342;4726;4491;788;1015;1277;1495;7795;1513;1193;1616;1000;713;141;415;1159;630;109;261;365;1276;263;276;552;423;271;228;220;249;212;268;38;34;122;;366;;1000;;11378;;2197;;159;;586;;165;;1709;;350;;;3975;
05114;Krefeld, Stadt;05;159214;162065;93911;93883;744;776;93167;93107;27847;24916;12499;22805;15972;17017;11147;7248;;;2093;4388;7177;7041;1980;2297;848;462;1579;1500;315;379;514;580;1953;588;504;694;293;317;81;147;401;214;42;128;126;468;141;70;209;150;114;63;31;43;58;63;18;7;53;;183;;349;;4475;;990;;82;;210;;73;;673;;137;;;1522;
05116;Mönchengladbach, Stadt;05;186103;188522;103834;103352;831;982;103003;102370;33240;30600;11791;23257;16086;16469;14334;8868;;;2491;4514;7043;7215;2159;2685;633;685;2083;1892;354;430;545;664;2294;577;544;807;438;243;67;231;561;259;63;143;165;617;76;51;175;198;129;77;30;44;18;40;15;7;58;;238;;470;;4923;;718;;71;;229;;93;;704;;165;;;1797;
05117;Mülheim an der Ruhr, Stadt;05;121350;123207;79325;77168;475;572;78850;76596;21880;18298;10428;17594;16439;16230;9445;7396;;;1428;3243;5730;5832;1688;1880;379;465;1515;1330;231;299;420;508;2175;437;390;521;242;196;41;111;374;202;26;102;164;287;76;73;139;120;85;40;25;35;54;71;11;11;33;;110;;325;;3529;;494;;47;;158;;57;;590;;122;;;1315;
05119;Oberhausen, Stadt;05;147245;150624;83550;82902;676;851;82874;82051;21836;18091;8003;15337;18497;20422;14007;10010;;;1868;4109;3821;4336;1965;2202;413;457;1694;1752;258;299;625;651;1665;431;423;735;236;189;50;235;461;227;27;137;184;408;68;49;128;112;97;45;30;25;50;70;13;10;38;;91;;347;;4209;;827;;49;;150;;48;;589;;107;;;1712;
05120;Remscheid, Stadt;05;77043;77129;43646;43470;386;455;43260;43015;13309;11733;4484;9224;7636;8290;6599;4254;;;878;1910;2635;2932;833;1020;236;244;782;748;116;226;292;273;829;189;202;343;120;67;28;60;184;101;14;53;60;353;52;59;100;71;80;43;11;31;20;15;11;6;19;;99;;142;;2409;;608;;23;;64;;33;;288;;64;;;770;
05122;Solingen, Klingenstadt;05;113280;112713;66877;64681;505;496;66372;64185;19283;16506;9031;15870;11103;11310;8711;5869;;;1539;3090;4435;4623;1640;1547;366;380;1129;1093;252;322;387;421;1733;375;347;525;213;140;42;75;277;186;32;67;102;459;68;61;140;137;99;40;22;27;40;51;10;12;35;;148;;275;;3274;;801;;39;;134;;41;;519;;105;;;999;
05124;Wuppertal, Stadt;05;235790;238998;138856;140535;983;1050;137873;139485;34126;31132;20414;35420;24231;25947;19170;13628;;;4530;8565;8119;8718;3297;4182;774;805;2378;2489;451;648;684;778;4556;864;762;1032;787;572;96;273;583;369;73;195;215;697;187;178;264;291;171;93;104;81;99;109;23;16;76;;310;;493;;8116;;957;;106;;445;;86;;994;;196;;;2403;
05154;Kleve;05;230502;227070;141284;136898;968;1125;140316;135773;56035;48747;15728;29494;22097;23140;15632;8693;;;2013;4398;9302;9643;2097;2308;1391;732;2274;2026;484;622;1017;936;2884;881;540;802;203;207;75;177;526;285;48;169;66;40;111;88;215;202;198;80;20;23;22;32;19;11;57;;210;;543;;4856;;66;;69;;222;;126;;1018;;152;;;2037;
05158;Mettmann;05;366678;367255;236485;234389;1789;1810;234696;232579;74176;67116;30847;54144;37309;40333;28635;20603;;;3893;8214;20156;18496;4185;4623;1494;1436;4100;3919;784;1065;1339;1589;5875;1456;1473;1783;671;589;138;322;983;661;95;287;253;893;346;251;403;337;310;171;53;65;92;100;37;30;117;;455;;1085;;10831;;1766;;132;;377;;175;;1779;;332;;;4096;
05162;Rhein-Kreis Neuss;05;338485;334970;218156;211310;1400;1588;216756;209722;76154;68001;26789;45451;32658;34152;24818;16801;;;3342;6704;19021;18190;3779;4091;1436;1273;3522;3240;694;977;1328;1474;5181;1430;1055;1433;593;498;91;294;929;622;88;289;239;667;174;119;410;361;257;130;58;50;58;50;36;20;98;;503;;905;;8590;;1518;;115;;362;;172;;1477;;306;;;3405;
05166;Viersen;05;230019;228023;145348;141515;1013;1125;144335;140390;53113;45987;18234;33174;21214;22425;16527;9873;;;2186;4794;11073;11048;2830;2645;1221;942;2604;2354;534;495;873;987;2669;739;618;911;228;288;105;222;631;355;62;161;88;223;134;132;242;185;191;107;35;35;26;22;21;13;61;;296;;546;;5652;;440;;74;;258;;115;;1225;;209;;;2273;
05170;Wesel;05;359573;356669;226288;218516;1537;1807;224751;216709;70098;59081;24684;44847;47709;48737;30070;19658;;;3824;9330;13329;14243;4453;4499;1451;1271;4170;3652;639;681;1733;1713;3374;1013;984;1337;439;332;128;333;1071;515;97;329;200;615;185;168;321;275;318;143;38;43;103;128;40;27;131;;361;;952;;9890;;1340;;122;;338;;191;;1680;;288;;;3739;
05314;Bonn, Stadt;05;232294;228055;162933;158398;616;748;162317;157650;39965;36302;37442;50340;22678;24318;10906;9418;;;5225;7674;12599;11084;3708;4955;879;765;1801;1707;615;1035;409;467;11552;2859;890;1171;1106;1054;41;92;414;210;88;107;838;1234;172;176;529;419;120;64;76;65;67;69;20;11;31;;443;;531;;6378;;715;;156;;673;;98;;939;;213;;;2054;
05315;Köln, Stadt;05;752156;740448;496380;478587;2079;2527;494301;476060;103112;94223;120241;156515;75249;80808;35894;29372;;;19837;29156;32991;29704;12879;16016;2302;2213;7397;6244;1793;2247;1638;1744;35310;7624;2206;3570;3364;3430;150;370;1781;884;222;516;645;2115;352;324;1281;992;579;313;205;180;276;354;65;55;125;;835;;1450;;20866;;4351;;574;;2202;;268;;3170;;691;;;7091;
05316;Leverkusen, Stadt;05;115725;116207;69272;69726;506;580;68766;69146;20023;18053;9021;15693;12594;13790;8944;6510;;;1401;2952;4541;4613;1499;1748;414;419;1005;1048;210;313;444;453;2047;529;409;553;213;190;43;103;354;197;35;130;87;272;62;35;166;135;97;67;9;12;47;62;12;7;40;;145;;301;;3237;;512;;88;;129;;31;;529;;77;;;1262;
05334;Städteregion Aachen;05;403169;405298;258971;249038;1878;1758;257093;247280;75059;66034;41897;60880;42017;49126;27635;17064;;;6092;10988;15892;14901;5373;6785;1405;1068;3986;3323;1083;2261;1214;1151;11929;4205;1736;2236;1167;1146;112;294;1059;543;85;227;274;670;184;142;951;681;271;147;57;60;74;74;41;27;150;;482;;960;;11305;;1568;;211;;666;;154;;1654;;350;;;3247;
05358;Düren;05;203838;199697;129144;120531;1170;1259;127974;119272;45517;38646;11577;20431;20471;23922;19907;11541;;;2032;4248;7652;8474;2071;2013;1093;747;2404;2210;349;513;962;1043;2517;670;691;860;250;219;88;243;710;405;52;196;98;186;167;113;254;165;180;60;23;40;24;20;10;4;88;;236;;582;;6015;;526;;65;;196;;87;;946;;134;;;2303;
05362;Rhein-Erft-Kreis;05;353490;346326;231306;220996;1835;1807;229471;219189;75132;62997;29835;46003;38236;43715;28267;20340;;;4004;7561;15629;16994;3765;4307;1803;1481;3923;3504;657;768;1388;1516;6393;1459;1304;1612;633;537;113;339;1003;525;101;298;260;662;167;120;426;349;315;154;52;40;35;50;25;15;105;;602;;991;;10253;;1446;;121;;354;;147;;1720;;266;;;3843;
05366;Euskirchen;05;155957;151478;100484;92833;813;889;99671;91944;36988;31063;9601;16910;13493;15099;14830;8877;;;1475;3101;7040;7807;1636;1715;1105;632;1954;1668;347;438;684;752;1992;424;439;589;139;184;92;137;498;286;37;152;49;56;128;94;180;119;137;67;20;14;36;12;14;7;57;;296;;520;;4599;;126;;52;;143;;82;;753;;129;;;1741;
05370;Heinsberg;05;197341;191077;121119;112550;1241;1176;119878;111374;46541;39869;11526;21245;16849;18552;17414;9358;;;1813;4098;6778;7147;2135;1946;1253;1080;2264;2015;341;437;904;890;2328;642;639;697;226;162;100;302;581;321;61;129;60;148;58;56;190;128;175;72;18;12;27;18;12;12;65;;196;;525;;4999;;395;;68;;167;;119;;909;;142;;;2038;
05374;Oberbergischer Kreis;05;210910;207897;136009;126841;1074;1184;134935;125657;46187;39855;13541;26072;20250;22044;21910;11601;;;2192;4505;8147;8786;2449;2305;1017;785;2262;1995;535;873;991;1144;2496;659;562;826;213;237;85;162;537;341;49;154;81;216;739;624;202;180;231;102;16;21;28;36;20;13;90;;356;;649;;6938;;525;;62;;191;;112;;1092;;180;;;2121;
05378;Rheinisch-Bergischer Kreis;05;220420;218103;153151;148330;1208;866;151943;147464;50715;44232;23957;38570;22924;24012;15090;10646;;;2398;5015;12175;11647;2580;2674;1187;1157;2214;2137;564;726;821;819;5534;1033;608;834;274;422;79;113;575;330;52;173;89;217;204;181;272;224;191;101;31;30;31;34;27;13;51;;362;;700;;5971;;464;;84;;254;;115;;1149;;201;;;2124;
05382;Rhein-Sieg-Kreis;05;464133;455483;315880;300253;2005;2237;313875;298016;105402;89675;44073;72121;46011;48389;36703;24211;;;5026;10666;24023;22440;5666;6262;2451;1970;4925;4846;1128;1654;1743;1864;9583;2142;1571;2200;743;818;157;377;1155;689;128;355;444;666;521;459;610;504;398;227;48;62;48;72;47;19;151;;832;;1400;;14167;;914;;166;;594;;191;;2442;;414;;;5328;
05512;Bottrop, Stadt;05;87839;87999;53301;52298;370;495;52931;51803;15517;12582;4810;8968;11528;12867;8982;6387;;;898;2138;2630;3021;953;1131;267;262;1063;958;356;652;356;379;857;228;210;373;116;85;31;97;252;168;20;87;92;188;23;17;74;69;67;45;89;232;24;52;4;5;19;;50;;193;;2424;;457;;24;;80;;51;;341;;73;;;812;
05513;Gelsenkirchen, Stadt;05;169647;172667;88700;88496;796;853;87904;87643;20630;17200;6768;13697;18942;22497;19043;14398;;;1787;4025;3815;4573;1642;2306;443;696;2244;2215;241;251;528;691;1358;349;451;566;341;103;64;278;767;287;43;152;236;1006;74;73;116;143;112;85;43;52;238;261;14;2;55;;91;;344;;4296;;2300;;34;;147;;43;;539;;115;;;1737;
05515;Münster, Stadt;05;241110;234502;179236;172718;760;653;178476;172065;45109;41991;48905;62955;25916;24719;8564;6883;;;6047;8565;11444;9791;3701;5537;722;734;2348;1550;1156;1628;547;488;11944;2360;734;1065;820;833;28;61;329;151;63;117;94;197;105;120;638;385;138;77;67;69;48;47;13;6;32;;215;;514;;5383;;398;;164;;858;;73;;1094;;265;;;1736;
05554;Borken;05;286237;278982;193971;181446;943;997;193028;180449;88162;74957;19577;37233;27724;29102;19333;9778;;;2499;4563;11733;12301;2706;2665;1868;1074;2051;1762;546;628;1537;1316;3507;703;753;959;278;259;80;177;519;275;55;196;90;101;126;97;345;220;190;106;35;41;31;18;24;6;83;;235;;821;;5694;;412;;87;;199;;141;;1416;;171;;;1912;
05558;Coesfeld;05;177457;173128;128108;120049;642;643;127466;119406;53194;45667;17285;28810;19357;18389;11820;6513;;;1558;3401;8018;7871;1856;1910;981;572;1457;1206;355;425;1175;1183;2653;527;585;648;152;182;56;129;351;148;51;142;42;48;55;43;242;137;121;73;13;12;11;25;10;6;55;;150;;443;;3955;;159;;54;;159;;90;;875;;128;;;1339;
05562;Recklinghausen;05;465776;469806;285177;274015;2052;2259;283125;271756;84793;69705;28085;50554;58499;64106;46572;31144;;;4612;10973;14429;15959;5266;6106;1612;1572;5494;5283;754;916;2106;2501;4640;1152;1262;1926;637;495;204;485;1365;725;118;436;322;1348;303;197;394;427;351;199;66;105;186;224;32;28;163;;375;;1328;;12929;;3196;;116;;402;;247;;1933;;334;;;5190;
05566;Steinfurt;05;346689;340622;235297;221206;1691;1366;233606;219840;88640;75685;29142;51259;43273;43335;24288;12331;;;3854;7499;13410;13251;3567;3886;1949;1222;2805;2374;650;829;1559;1455;4553;928;984;1282;347;303;98;263;640;415;82;201;107;286;182;95;410;269;249;88;35;33;40;37;39;27;87;;335;;889;;8501;;532;;93;;301;;158;;1586;;221;;;2487;
05570;Warendorf;05;213073;209212;142945;135952;999;923;141946;135029;56253;48014;16539;29822;22912;23999;16111;9035;;;2085;4323;8537;9035;2104;2396;1432;935;1812;1527;482;489;905;988;2447;513;518;819;255;200;65;145;398;198;46;161;63;308;140;135;214;163;171;70;23;22;19;17;19;10;62;;225;;558;;5434;;647;;46;;189;;112;;991;;132;;;1705;
05711;Bielefeld, Stadt;05;237790;237243;151854;151344;866;1114;150988;150230;36391;32604;28052;42289;27105;28265;16325;11498;;;6352;9850;8930;8251;4177;4827;722;880;2298;2135;548;793;694;812;4678;1175;807;1195;758;643;79;172;405;220;67;184;326;971;437;522;433;331;183;101;74;82;70;74;26;18;59;;333;;501;;6921;;1196;;143;;547;;97;;1062;;192;;;2338;
05754;Gütersloh;05;268700;263291;173186;164120;1159;1124;172027;162996;62091;52419;21652;39536;26400;27534;22790;12505;;;2771;5613;10074;10355;3116;2914;1595;1471;2242;2186;588;854;1139;1279;3657;760;693;1014;267;249;100;215;499;305;60;208;162;427;359;392;309;206;243;132;35;31;26;25;18;14;104;;375;;720;;7278;;717;;96;;271;;135;;1238;;207;;;2352;
05758;Herford;05;191491;191048;120923;113252;862;865;120061;112387;35618;29137;12309;24222;24263;25721;19568;11158;;;2443;4512;6345;6463;2291;2067;1056;1428;1992;1834;367;372;772;829;1781;481;595;722;218;169;76;153;417;234;57;132;81;299;496;449;210;132;179;82;22;34;22;43;21;3;59;;341;;488;;5957;;678;;53;;181;;99;;850;;156;;;1711;
05762;Höxter;05;112011;111469;73720;69376;478;603;73242;68773;32624;27446;6035;11659;10041;11333;10092;5650;;;1035;2174;3753;4449;1219;1165;717;488;895;836;320;493;571;641;735;245;323;437;89;73;56;119;236;117;18;84;35;100;86;119;114;82;127;35;15;16;5;7;5;6;70;;128;;265;;2799;;207;;26;;91;;61;;381;;68;;;999;
05766;Lippe;05;268873;267750;170196;164091;1400;1464;168796;162627;48457;41966;18893;34841;32822;35954;27936;15680;;;3035;6171;9760;10678;3299;3314;1968;1922;2664;2396;602;773;1237;1290;2272;692;766;1084;261;278;112;223;611;351;64;224;134;428;1512;1456;334;223;225;128;32;31;21;33;28;7;85;;375;;810;;8006;;581;;95;;312;;118;;1160;;209;;;2484;
05770;Minden-Lübbecke;05;241948;240181;149140;141876;994;1074;148146;140802;44705;38637;15168;28989;31277;33064;23075;12816;;;2459;5066;7950;8706;2906;2879;1594;1124;2082;1937;400;583;1018;1005;1906;617;652;939;248;231;89;221;503;229;64;183;83;225;1054;877;288;207;238;84;33;44;36;22;17;17;90;;277;;592;;7300;;450;;70;;252;;117;;987;;166;;;2100;
05774;Paderborn;05;237159;230946;152054;139286;949;994;151105;138292;61814;49607;18333;31362;17181;19044;20894;11131;;;2778;4946;8213;9196;3071;3170;910;870;1957;1662;424;641;892;1030;3019;731;653;945;350;315;79;158;392;235;40;155;118;313;328;398;337;313;158;74;19;30;23;20;31;7;68;;425;;624;;6052;;471;;87;;271;;96;;830;;167;;;1939;
05911;Bochum, Stadt;05;268865;271416;170053;165855;1078;1364;168975;164491;39543;32600;26437;40110;36974;37844;20183;15598;;;5839;9336;8092;9186;4661;5341;884;962;3054;2751;583;710;926;1038;5716;1180;967;1273;838;590;94;328;868;443;83;269;185;731;166;183;415;421;204;153;84;78;184;220;25;39;66;;277;;798;;7043;;1507;;158;;607;;100;;1143;;271;;;3107;
05913;Dortmund, Stadt;05;409352;412595;251595;241207;1722;1679;249873;239528;57582;46156;37731;59764;53046;54803;32551;22013;;;7054;13420;12124;14207;7595;7752;1198;1400;6007;3975;707;1097;1395;1440;7534;1621;1439;2218;1175;860;220;441;1208;648;133;321;425;1340;202;146;520;481;318;200;146;162;188;180;30;22;140;;471;;903;;12136;;2694;;193;;715;;172;;1598;;323;;;4861;
05914;Hagen, Stadt der FernUniversität;05;127308;130560;70527;72691;501;641;70026;72050;20342;17401;6501;13200;13373;16076;12319;9077;;;1438;3151;3744;4644;1323;1610;373;542;1271;1419;206;348;452;561;1083;316;283;537;199;174;63;170;427;162;30;124;114;736;87;95;106;102;88;54;30;30;85;83;16;7;43;;119;;378;;3751;;1002;;46;;100;;52;;476;;106;;;1431;
05915;Hamm, Stadt;05;124129;125696;72680;72575;570;601;72110;71974;21677;19513;6254;13850;15230;16598;12099;7847;;;1248;2960;3800;4182;1191;1403;365;488;1183;1140;162;250;469;465;1338;321;331;579;254;106;53;148;294;193;33;88;91;468;47;46;92;91;86;47;17;19;13;17;10;7;43;;86;;302;;3668;;1020;;33;;81;;51;;409;;80;;;1148;
05916;Herne, Stadt;05;108911;110657;59298;59376;449;647;58849;58729;13971;11770;5292;10264;14076;15717;10569;7776;;;1473;2971;2426;2991;1179;1422;320;333;1400;1188;171;166;416;476;989;266;437;590;184;121;56;141;373;196;33;101;161;663;83;81;77;126;68;42;19;23;69;80;7;7;37;;72;;244;;2879;;1109;;31;;110;;38;;398;;82;;;1218;
05954;Ennepe-Ruhr-Kreis;05;249538;251943;160704;156316;982;1202;159722;155114;44084;35800;20698;36561;33671;35666;21574;14231;;;2961;6316;9799;10042;3480;3819;962;832;3130;2831;594;717;1019;1058;3275;700;868;1530;323;417;107;249;701;352;67;202;109;411;269;245;282;211;228;96;56;78;138;134;19;13;89;;304;;726;;7414;;827;;111;;352;;132;;1141;;212;;;2603;
05958;Hochsauerlandkreis;05;202149;201504;133230;125070;919;808;132311;124262;61708;51683;9601;19880;19122;21337;16530;9206;;;1561;3535;6770;8422;2275;2252;1108;1035;1781;1507;312;494;781;915;1844;508;450;651;153;141;97;174;420;234;38;170;56;113;110;87;186;141;150;65;20;14;11;25;9;6;59;;213;;548;;4818;;360;;44;;128;;111;;800;;137;;;1667;
05962;Märkischer Kreis;05;298666;302136;175046;170134;1603;1480;173443;168654;60179;52808;13871;30402;28281;32827;29558;16988;;;2778;6262;9832;11983;2845;3092;1185;1240;3316;2934;796;980;1231;1369;2338;692;778;1121;338;312;135;346;762;489;63;253;173;605;469;541;273;228;233;114;49;59;37;71;41;14;112;;477;;860;;8962;;1610;;50;;247;;134;;1246;;184;;;2924;
05966;Olpe;05;102531;102295;68445;64922;372;454;68073;64468;33927;29663;4608;9457;8667;9958;8339;4728;;;709;1617;3710;4390;885;996;635;391;693;728;185;229;404;440;829;196;210;300;90;72;38;72;182;95;21;77;26;55;53;46;82;57;67;43;23;19;8;17;11;11;28;;96;;320;;2499;;188;;18;;65;;50;;339;;68;;;811;
05970;Siegen-Wittgenstein;05;207816;211301;133522;130012;958;983;132564;129029;44110;37646;11330;22787;22890;26496;20649;13427;;;2443;5703;8293;8638;2534;3107;1154;911;2058;1949;770;1561;889;1012;2677;517;568;805;360;281;101;206;484;235;53;158;89;324;662;594;246;238;186;102;49;44;31;29;19;22;99;;322;;623;;6880;;668;;64;;177;;99;;847;;140;;;2237;
05974;Soest;05;235256;232462;150334;140546;970;875;149364;139671;56066;46716;15895;29429;24342;25043;20804;11331;;;2368;5003;8818;9811;2595;2763;1096;856;2315;1915;427;589;969;1066;2092;576;556;845;181;267;74;184;535;278;64;197;99;122;176;192;240;190;206;97;37;54;18;23;19;13;73;;319;;595;;6327;;361;;97;;244;;117;;1092;;147;;;2111;
05978;Unna;05;304010;304843;187459;181778;1396;1557;186063;180221;53401;43125;20263;37618;40965;45595;28170;17690;;;3340;7407;9640;10643;3749;3625;1239;1354;3919;2969;506;646;1426;1491;2939;796;821;1341;389;276;95;351;984;514;66;316;137;603;184;132;278;276;265;148;58;56;61;75;37;36;97;;217;;838;;8258;;1690;;84;;271;;121;;1333;;222;;;3138;
05;Nordrhein-Westfalen;99;13209830;13149577;8373669;8069019;56875;60229;8316794;8008790;2598159;2237590;1120761;1854487;1433205;1536734;1049485;682400;;;177106;337933;527538;535316;166359;187575;57439;50763;137482;122518;28183;38539;49705;53443;233562;55959;40010;56392;25918;22541;4743;11872;33635;18359;3429;10277;9559;29125;12769;11616;16539;13425;10411;5470;2651;2978;3637;4148;1204;812;4037;;15707;;33955;;367040;;55554;;5329;;17700;;5906;;57549;;10528;;;128518;
;
06411;Darmstadt, Wissenschaftsstadt;06;108079;107437;73773;71045;348;410;73425;70635;12759;11506;16876;23761;10682;10721;5680;4569;;;3291;5030;4463;3997;1956;3656;601;528;984;871;447;940;165;189;7989;1145;546;850;678;580;26;33;219;118;39;80;121;319;151;165;368;348;56;46;43;36;54;61;11;13;45;;159;;194;;3153;;427;;156;;452;;33;;445;;156;;;1073;
06412;Frankfurt am Main, Stadt;06;442435;429856;274768;258304;1339;1371;273429;256933;62353;50517;56534;80382;39190;38729;20989;17316;;;12956;16790;23756;19895;6292;9151;2348;2455;3191;2902;888;1318;591;622;17320;3883;1245;1970;2761;2335;98;248;732;379;136;308;863;1719;316;293;666;570;219;233;202;191;97;118;58;47;131;;532;;962;;12692;;2014;;310;;1108;;155;;1261;;463;;;4562;
06413;Offenbach am Main, Stadt;06;68949;67788;36478;34927;245;320;36233;34607;8170;7050;5595;8937;5749;5629;4044;3500;;;2183;2520;2161;1916;841;1213;502;478;711;529;115;189;89;121;1408;389;217;392;539;272;20;49;148;73;20;54;190;339;47;46;85;74;45;23;27;20;6;6;12;8;21;;89;;90;;2100;;542;;46;;166;;18;;164;;73;;;780;
06414;Wiesbaden, Landeshauptstadt;06;190458;188034;113080;111027;691;975;112389;110052;30021;27077;18493;27906;16740;19995;12022;9667;;;3706;5267;8728;7596;2272;3129;1515;1408;1544;1371;405;614;304;315;6153;1213;479;661;582;528;54;99;372;225;46;106;564;530;141;186;375;291;82;58;39;41;31;48;17;16;48;;296;;394;;4920;;688;;118;;343;;51;;622;;224;;;1705;
06431;Bergstraße;06;199821;198695;130775;120229;1013;1364;129762;118865;41692;33924;14752;25914;19957;20550;21244;13356;;;1999;3949;8364;8104;2099;2345;2584;1886;2385;2201;460;713;633;684;2696;609;537;725;263;319;97;260;596;340;64;172;102;97;212;262;310;191;145;101;29;32;12;26;18;17;108;;325;;558;;5693;;355;;94;;194;;107;;855;;223;;;2088;
06432;Darmstadt-Dieburg;06;216402;215429;142993;136397;1327;1647;141666;134750;40977;32986;19297;32722;24594;26378;18210;12508;;;2956;5527;8983;8316;2741;3299;2363;1858;2447;2347;630;1155;601;746;5067;854;722;1080;449;427;92;213;723;397;62;249;146;258;353;422;338;257;117;101;88;117;41;47;16;16;101;;405;;565;;6272;;561;;221;;285;;108;;883;;252;;;2470;
06433;Groß-Gerau;06;177508;176014;106520;100854;967;1180;105553;99674;29895;23762;12204;22748;19083;19965;13895;10435;;;2623;4544;6099;5332;1939;2305;2117;2066;1668;1758;439;544;478;589;2561;577;493;734;741;318;84;145;546;310;63;162;269;862;162;124;256;213;93;84;85;58;56;76;13;12;96;;296;;405;;5671;;1840;;95;;218;;74;;778;;218;;;1951;
06434;Hochtaunuskreis;06;166216;164348;111943;107046;576;636;111367;106410;38805;32197;16698;27258;14342;14311;11280;9165;;;1763;3215;11358;9939;1706;2170;1925;1219;1402;1368;381;558;323;377;3306;909;497;597;277;320;54;128;315;221;45;117;104;111;157;162;255;189;114;95;27;35;16;16;21;9;51;;370;;427;;3920;;256;;117;;195;;62;;651;;147;;;1724;
